instrument	category	source_table	collection
GRAV-C3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C3.vitaltable	WaveEdit Online (CC0)
GRAV-C5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C5.vitaltable	WaveEdit Online (CC0)
Gasbait WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Gasbait.vital	other
Guitar - MultiVerse WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Guitar - MultiVerse.vital	other
Guitar Mystic WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Guitar Mystic.vital	other
Gutz WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalBank/Presets/Gutz.vital	other
HIENHARM WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HIENHARM.vitaltable	WaveEdit Online (CC0)
Half Clip6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Half Clip/Half Clip6.vitaltable	Kimura Taro (CC0)
ISOLDE WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ISOLDE.vitaltable	WaveEdit Online (CC0)
Increase soul1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Increase soul1.vital	user/Discord presets (third-party)
James Bond9 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Vocorder/James Bond9.vitaltable	Kimura Taro (CC0)
Journey Strings V2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalBank/Presets/Journey Strings V2.vital	other
KUATO WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/KUATO.vitaltable	WaveEdit Online (CC0)
Karplus FM WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Karplus Strong/Karplus FM.vitaltable	Kimura Taro (CC0)
Karplus SM WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Karplus Strong/Karplus SM.vitaltable	Kimura Taro (CC0)
Keys - Candy Canes WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Candy Canes.vital	other
Keys - Lo-Fi Gallery WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Lo-Fi Gallery.vital	other
Korgasmatron1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/Korgasmatron1.vitaltable	Kimura Taro (CC0)
