instrument	category	source_table	collection
RINGSHAP WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/RINGSHAP.vitaltable	WaveEdit Online (CC0)
RMFM02 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/RMFM/RMFM02.vitaltable	Kimura Taro (CC0)
SAND_EYE WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SAND_EYE.vitaltable	WaveEdit Online (CC0)
SINE_SPE WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SINE_SPE.vitaltable	WaveEdit Online (CC0)
SMOOTH_T WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SMOOTH_T.vitaltable	WaveEdit Online (CC0)
SNAKE_EY WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SNAKE_EY.vitaltable	WaveEdit Online (CC0)
SOFT_MAN WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOFT_MAN.vitaltable	WaveEdit Online (CC0)
SOHLER02 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER02.vitaltable	WaveEdit Online (CC0)
SOHLER05 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER05.vitaltable	WaveEdit Online (CC0)
SOHLER09 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER09.vitaltable	WaveEdit Online (CC0)
SOHLER10 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER10.vitaltable	WaveEdit Online (CC0)
SOHLER11 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER11.vitaltable	WaveEdit Online (CC0)
SOHLER12 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER12.vitaltable	WaveEdit Online (CC0)
SOHLER13 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER13.vitaltable	WaveEdit Online (CC0)
SOHLER14 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER14.vitaltable	WaveEdit Online (CC0)
SOHLER19 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER19.vitaltable	WaveEdit Online (CC0)
SOHLER21 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER21.vitaltable	WaveEdit Online (CC0)
SOHLER24 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER24.vitaltable	WaveEdit Online (CC0)
SOHLER25 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER25.vitaltable	WaveEdit Online (CC0)
SOHLER28 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER28.vitaltable	WaveEdit Online (CC0)
SOHLER31 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER31.vitaltable	WaveEdit Online (CC0)
SOHLER34 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER34.vitaltable	WaveEdit Online (CC0)
SOHLER35 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER35.vitaltable	WaveEdit Online (CC0)
SOHLER36 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER36.vitaltable	WaveEdit Online (CC0)
SOHLER37 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER37.vitaltable	WaveEdit Online (CC0)
SOHLER39 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER39.vitaltable	WaveEdit Online (CC0)
SOHLER42 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER42.vitaltable	WaveEdit Online (CC0)
SOHLER46 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER46.vitaltable	WaveEdit Online (CC0)
SOHLER51 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER51.vitaltable	WaveEdit Online (CC0)
SOHLER52 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER52.vitaltable	WaveEdit Online (CC0)
SOHLER54 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER54.vitaltable	WaveEdit Online (CC0)
SOHLER57 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER57.vitaltable	WaveEdit Online (CC0)
SOHLER59 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER59.vitaltable	WaveEdit Online (CC0)
SOHLER62 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER62.vitaltable	WaveEdit Online (CC0)
SOHLER63 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER63.vitaltable	WaveEdit Online (CC0)
SOHLER64 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER64.vitaltable	WaveEdit Online (CC0)
SOHLER65 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER65.vitaltable	WaveEdit Online (CC0)
SOHLER66 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER66.vitaltable	WaveEdit Online (CC0)
SOHLER70 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER70.vitaltable	WaveEdit Online (CC0)
SOHLER75 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER75.vitaltable	WaveEdit Online (CC0)
SOHLER76 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER76.vitaltable	WaveEdit Online (CC0)
SOHLER79 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER79.vitaltable	WaveEdit Online (CC0)
SOHLER80 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER80.vitaltable	WaveEdit Online (CC0)
SOHLER82 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER82.vitaltable	WaveEdit Online (CC0)
SOHLER83 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER83.vitaltable	WaveEdit Online (CC0)
SOHLER85 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER85.vitaltable	WaveEdit Online (CC0)
SOHLER88 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER88.vitaltable	WaveEdit Online (CC0)
SOHLER89 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER89.vitaltable	WaveEdit Online (CC0)
SOHLER90 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER90.vitaltable	WaveEdit Online (CC0)
SOHLER91 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER91.vitaltable	WaveEdit Online (CC0)
SOHLER92 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER92.vitaltable	WaveEdit Online (CC0)
SOHLER94 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER94.vitaltable	WaveEdit Online (CC0)
SOHLER96 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER96.vitaltable	WaveEdit Online (CC0)
SOHLER97 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER97.vitaltable	WaveEdit Online (CC0)
SOHLER98 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER98.vitaltable	WaveEdit Online (CC0)
SPECTR00 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SPECTR00.vitaltable	WaveEdit Online (CC0)
SPECTR03 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SPECTR03.vitaltable	WaveEdit Online (CC0)
SPECTR04 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SPECTR04.vitaltable	WaveEdit Online (CC0)
SPECTR05 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SPECTR05.vitaltable	WaveEdit Online (CC0)
SPECTRAL WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SPECTRAL.vitaltable	WaveEdit Online (CC0)
SPOLY ERT WT.xrni	bright and gritty	/home/meneses/.local/share/vital/nahush2321/Presets/SPOLY ERT.vital	user/Discord presets (third-party)
SQUARE_P WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SQUARE_P.vitaltable	WaveEdit Online (CC0)
SYNLP100 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP100.vitaltable	WaveEdit Online (CC0)
SYNLP101 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP101.vitaltable	WaveEdit Online (CC0)
SYNLP102 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP102.vitaltable	WaveEdit Online (CC0)
SYNLP103 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP103.vitaltable	WaveEdit Online (CC0)
SYNLP105 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP105.vitaltable	WaveEdit Online (CC0)
SYNLP106 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP106.vitaltable	WaveEdit Online (CC0)
SYNLP107 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP107.vitaltable	WaveEdit Online (CC0)
SYNLP108 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP108.vitaltable	WaveEdit Online (CC0)
SYNLP112 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP112.vitaltable	WaveEdit Online (CC0)
SYNLP117 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP117.vitaltable	WaveEdit Online (CC0)
SYNLP120 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP120.vitaltable	WaveEdit Online (CC0)
SYNLP121 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP121.vitaltable	WaveEdit Online (CC0)
SYNLP122 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP122.vitaltable	WaveEdit Online (CC0)
SYNLP124 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP124.vitaltable	WaveEdit Online (CC0)
SYNLP125 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP125.vitaltable	WaveEdit Online (CC0)
SYNLP127 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP127.vitaltable	WaveEdit Online (CC0)
SYNLP129 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP129.vitaltable	WaveEdit Online (CC0)
SYNLP13 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP13.vitaltable	WaveEdit Online (CC0)
SYNLP131 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP131.vitaltable	WaveEdit Online (CC0)
SYNLP133 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP133.vitaltable	WaveEdit Online (CC0)
SYNLP134 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP134.vitaltable	WaveEdit Online (CC0)
SYNLP135 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP135.vitaltable	WaveEdit Online (CC0)
SYNLP136 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP136.vitaltable	WaveEdit Online (CC0)
SYNLP14 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP14.vitaltable	WaveEdit Online (CC0)
SYNLP145 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP145.vitaltable	WaveEdit Online (CC0)
SYNLP147 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP147.vitaltable	WaveEdit Online (CC0)
SYNLP150 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP150.vitaltable	WaveEdit Online (CC0)
SYNLP151 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP151.vitaltable	WaveEdit Online (CC0)
SYNLP168 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP168.vitaltable	WaveEdit Online (CC0)
SYNLP169 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP169.vitaltable	WaveEdit Online (CC0)
SYNLP170 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP170.vitaltable	WaveEdit Online (CC0)
SYNLP176 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP176.vitaltable	WaveEdit Online (CC0)
SYNLP177 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP177.vitaltable	WaveEdit Online (CC0)
SYNLP18 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP18.vitaltable	WaveEdit Online (CC0)
SYNLP183 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP183.vitaltable	WaveEdit Online (CC0)
SYNLP19 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP19.vitaltable	WaveEdit Online (CC0)
SYNLP191 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP191.vitaltable	WaveEdit Online (CC0)
SYNLP192 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP192.vitaltable	WaveEdit Online (CC0)
SYNLP196 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP196.vitaltable	WaveEdit Online (CC0)
SYNLP197 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP197.vitaltable	WaveEdit Online (CC0)
SYNLP2 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP2.vitaltable	WaveEdit Online (CC0)
SYNLP20 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP20.vitaltable	WaveEdit Online (CC0)
SYNLP21 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP21.vitaltable	WaveEdit Online (CC0)
SYNLP22 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP22.vitaltable	WaveEdit Online (CC0)
SYNLP24 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP24.vitaltable	WaveEdit Online (CC0)
SYNLP25 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP25.vitaltable	WaveEdit Online (CC0)
SYNLP26 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP26.vitaltable	WaveEdit Online (CC0)
SYNLP29 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP29.vitaltable	WaveEdit Online (CC0)
SYNLP3 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP3.vitaltable	WaveEdit Online (CC0)
SYNLP30 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP30.vitaltable	WaveEdit Online (CC0)
SYNLP32 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP32.vitaltable	WaveEdit Online (CC0)
SYNLP34 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP34.vitaltable	WaveEdit Online (CC0)
SYNLP36 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP36.vitaltable	WaveEdit Online (CC0)
SYNLP37 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP37.vitaltable	WaveEdit Online (CC0)
SYNLP42 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP42.vitaltable	WaveEdit Online (CC0)
SYNLP46 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP46.vitaltable	WaveEdit Online (CC0)
SYNLP48 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP48.vitaltable	WaveEdit Online (CC0)
SYNLP51 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP51.vitaltable	WaveEdit Online (CC0)
SYNLP54 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP54.vitaltable	WaveEdit Online (CC0)
SYNLP55 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP55.vitaltable	WaveEdit Online (CC0)
SYNLP65 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP65.vitaltable	WaveEdit Online (CC0)
SYNLP68 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP68.vitaltable	WaveEdit Online (CC0)
SYNLP77 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP77.vitaltable	WaveEdit Online (CC0)
SYNLP78 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP78.vitaltable	WaveEdit Online (CC0)
SYNLP9 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP9.vitaltable	WaveEdit Online (CC0)
SYNLP91 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP91.vitaltable	WaveEdit Online (CC0)
SYNLP94 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP94.vitaltable	WaveEdit Online (CC0)
SYNLPG02 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLPG02.vitaltable	WaveEdit Online (CC0)
SYNLPG03 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLPG03.vitaltable	WaveEdit Online (CC0)
SYNLPG06 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLPG06.vitaltable	WaveEdit Online (CC0)
SYNLPG08 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLPG08.vitaltable	WaveEdit Online (CC0)
SYNLPG14 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLPG14.vitaltable	WaveEdit Online (CC0)
SYNTH45 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/nahush2321/Presets/SYNTH45.vital	user/Discord presets (third-party)
ScreecherLead WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Growl 4 - Screech Tearout/Presets/ScreecherLead.vital	user/Discord presets (third-party)
Shaper Wave1 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Shaper Wave/Shaper Wave1.vitaltable	Kimura Taro (CC0)
Shaper Wave2 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Shaper Wave/Shaper Wave2.vitaltable	Kimura Taro (CC0)
Shaper Wave4 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Shaper Wave/Shaper Wave4.vitaltable	Kimura Taro (CC0)
Shaper Wave5 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Shaper Wave/Shaper Wave5.vitaltable	Kimura Taro (CC0)
Shaper Wave6 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Shaper Wave/Shaper Wave6.vitaltable	Kimura Taro (CC0)
Synth 23 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/nahush2321/Presets/Synth 23.vital	user/Discord presets (third-party)
TIDAL WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDAL.vitaltable	WaveEdit Online (CC0)
TIDYB002 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB002.vitaltable	WaveEdit Online (CC0)
TIDYB003 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB003.vitaltable	WaveEdit Online (CC0)
TIDYB004 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB004.vitaltable	WaveEdit Online (CC0)
TIDYB005 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB005.vitaltable	WaveEdit Online (CC0)
TIDYB006 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB006.vitaltable	WaveEdit Online (CC0)
TIDYB007 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB007.vitaltable	WaveEdit Online (CC0)
TIDYB008 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB008.vitaltable	WaveEdit Online (CC0)
TIDYB009 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB009.vitaltable	WaveEdit Online (CC0)
TIDYB010 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB010.vitaltable	WaveEdit Online (CC0)
TIDYB011 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB011.vitaltable	WaveEdit Online (CC0)
TIDYB012 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB012.vitaltable	WaveEdit Online (CC0)
TIDYB013 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB013.vitaltable	WaveEdit Online (CC0)
TIDYB014 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB014.vitaltable	WaveEdit Online (CC0)
TIDYB015 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB015.vitaltable	WaveEdit Online (CC0)
TIDYB016 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB016.vitaltable	WaveEdit Online (CC0)
TIDYB018 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB018.vitaltable	WaveEdit Online (CC0)
TIDYB019 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB019.vitaltable	WaveEdit Online (CC0)
TIDYB020 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB020.vitaltable	WaveEdit Online (CC0)
TIDYB023 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB023.vitaltable	WaveEdit Online (CC0)
TIDYB029 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB029.vitaltable	WaveEdit Online (CC0)
TIDYB036 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB036.vitaltable	WaveEdit Online (CC0)
TIDYB040 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB040.vitaltable	WaveEdit Online (CC0)
TIDYB041 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB041.vitaltable	WaveEdit Online (CC0)
TIDYB066 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB066.vitaltable	WaveEdit Online (CC0)
TIDYB073 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYB073.vitaltable	WaveEdit Online (CC0)
TIDYBNK0 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TIDYBNK0.vitaltable	WaveEdit Online (CC0)
Terra Bend_PD WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devicees Terra/Terra Bend+PD.vitaltable	Kimura Taro (CC0)
Terra CpxMod1 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devicees Terra/Terra CpxMod1.vitaltable	Kimura Taro (CC0)
Terra CpxMod2 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devicees Terra/Terra CpxMod2.vitaltable	Kimura Taro (CC0)
VMX - Simple Pad WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Vital Harvest/Presets/VMX - Simple Pad.vital	other
WAVETABL WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/WAVETABL.vitaltable	WaveEdit Online (CC0)
WAVETRIP WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/WAVETRIP.vitaltable	WaveEdit Online (CC0)
WH Dy- WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Walsh Function/WH Dy-.vitaltable	Kimura Taro (CC0)
WHERE_NO WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/WHERE_NO.vitaltable	WaveEdit Online (CC0)
WHT- WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Walsh Function/WHT-.vitaltable	Kimura Taro (CC0)
